KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
0045302SRO;2;4;4;6;4;7;9;7;5;5;3;3
0045405URU;8;6;9;12;10;19;23;15;14;10;10;12
0045503WAW;6;4;5;9;9;12;16;13;7;10;3;6
0045604SRO;4;6;9;9;12;17;21;18;12;8;7;4
0045704TAR;5;8;10;12;10;15;18;17;13;11;9;4
0045802WOL;3;3;4;6;4;6;10;8;5;5;3;4
0045903WLO;7;4;7;9;6;12;14;9;10;9;7;4
0046004WAW;7;5;5;14;14;18;22;17;13;9;7;8
0046104ZOL;8;6;8;12;11;14;22;15;12;14;9;9
0046202BIA;4;2;4;6;6;6;8;7;4;6;2;3
0046304URU;6;5;5;10;9;16;21;13;14;10;9;7
0046402MOK;2;3;4;5;4;8;10;8;4;5;2;4
0046502SRO;2;3;3;5;4;6;8;7;4;4;4;3
0046604WLO;7;10;8;14;13;18;21;14;8;10;5;10
0046701WES;1;1;2;2;2;3;4;3;2;3;2;2
0046802BIA;4;4;2;6;5;8;10;7;4;5;2;2
0046904ZOL;6;6;7;9;11;17;18;15;10;14;5;5
0047006REM;12;9;8;15;18;21;30;23;19;17;12;13
0047102ZOL;2;3;4;4;6;7;8;6;4;5;4;4
0047203BIE;7;7;6;9;9;10;12;9;7;9;6;5
0047306WLO;6;11;14;19;20;25;31;21;15;16;8;11
0047403WLO;4;3;3;7;6;9;16;12;6;10;4;6
0047505OCH;6;11;11;14;10;20;26;22;11;15;12;11
0047607BIE;10;15;13;16;16;23;33;24;20;20;7;9
0047704URY;7;5;5;13;9;15;16;15;11;12;9;9
0047804BEM;6;6;7;11;13;17;21;15;13;11;10;10
0047904SRO;10;7;9;10;9;12;17;18;14;9;4;10
0048002ZOL;2;3;2;5;6;8;9;7;5;5;2;4
0048103WIL;7;6;7;6;6;12;13;11;9;9;6;4
0048207SRO;12;13;9;18;16;23;30;22;18;21;13;11
0048301WES;2;1;1;2;3;3;5;4;3;2;2;2
0048403SRO;7;5;4;8;7;10;13;13;7;8;4;3
0048501BEM;1;1;1;2;3;4;5;3;2;2;1;1
0048606WOL;14;6;6;20;15;24;32;26;15;19;9;13
0048703BIE;5;7;6;10;10;13;14;10;9;9;7;5
0048805BIE;10;9;10;12;13;18;22;21;12;15;8;12
0048902URY;2;3;2;6;5;7;8;8;5;4;4;3
0049004WES;5;9;9;13;8;16;18;17;10;14;9;6
0049103ZOL;5;3;5;10;10;10;13;13;6;10;6;7
0049201ZOL;1;2;1;2;2;4;5;4;2;2;1;1
0049304SRO;10;8;7;8;14;18;19;17;12;11;4;8
0049403PRA;5;5;4;6;6;13;14;12;8;6;6;5
0049507ZOL;10;10;9;15;15;22;35;24;18;22;8;11
0049603WOL;4;7;6;6;6;12;13;11;10;9;6;4
0049702WES;3;4;4;5;4;6;8;8;4;6;4;3
0049804WES;4;8;6;14;10;14;21;14;11;12;5;5
0049902WOL;3;3;4;6;5;6;9;6;4;4;2;3
0050003ZOL;3;3;5;10;6;10;12;10;8;10;3;5
0050102OCH;3;2;3;4;5;7;8;7;6;5;4;2
0050204PRA;6;8;5;10;14;17;18;17;13;11;10;5
0050304BEM;8;8;7;12;12;17;16;16;10;13;10;5
0050403URY;5;7;5;6;10;9;12;12;9;6;5;3
0050503REM;3;4;7;10;10;11;15;13;9;9;3;7
0050602BIA;4;3;4;5;5;8;10;6;5;6;3;4
0050704WLO;10;5;5;13;8;18;18;12;13;12;4;4
0050801WES;2;1;1;3;2;4;5;4;2;2;2;2
0050902WIL;3;3;2;6;5;7;10;8;5;6;4;4
0051005ZOL;5;11;9;16;12;19;27;22;14;14;10;8
0051102URY;2;4;2;4;5;6;8;7;5;5;2;3
0051202PRA;3;3;2;6;6;7;8;8;5;4;2;3
0051307BEM;9;11;13;19;18;28;35;27;18;15;13;14
0051402MOK;4;3;3;6;5;7;10;7;5;6;3;2
0051503PRA;7;6;5;8;7;9;14;10;6;6;3;5
0051603REM;5;3;7;6;7;13;15;13;6;6;4;7
0051704WOL;7;9;6;8;13;12;21;17;14;13;5;10
0051803WLO;6;7;7;7;7;13;15;11;10;6;7;3
0051902REM;3;3;3;4;4;7;9;6;4;4;4;4
0052004BIE;6;4;8;14;13;12;21;15;13;10;7;4
0052101ZOL;1;2;1;2;3;4;4;3;2;2;1;1
0052202BIE;3;2;2;6;6;6;9;8;5;4;3;3
0052301WES;2;1;1;2;2;3;4;4;2;2;2;2
0052404BIE;8;4;8;11;11;16;18;16;13;13;10;8
0052503BIE;6;7;4;6;6;9;12;12;9;7;5;6
0052602REM;4;4;4;5;4;6;10;6;5;5;3;4
0052704BEM;5;7;5;9;13;12;19;13;8;11;10;4
0052803BIE;5;5;3;6;9;11;16;11;8;6;6;5
0052903REM;6;3;5;7;7;11;15;13;7;6;4;3
0053002BIE;2;4;3;5;4;6;9;8;5;5;3;4
0053104WLO;6;8;6;12;11;16;22;15;14;9;10;8
0053202BEM;2;3;2;6;4;6;8;6;5;6;2;4
0053302BIA;3;2;4;6;4;6;9;6;4;5;3;3
0053404WES;4;10;5;12;11;12;22;17;12;8;8;10
0053504URY;7;7;9;11;10;14;21;17;11;12;10;7
0053604REM;10;9;6;8;9;12;18;13;9;14;8;5
0053703TAR;5;5;5;7;7;13;14;11;9;8;4;6
0053804URU;7;9;9;11;8;13;16;17;9;11;4;4
0053903BIA;7;7;5;10;8;10;14;12;6;6;4;4
0054005WLO;10;12;12;15;17;15;26;17;11;11;5;9
0054104WAW;7;5;9;8;10;13;19;15;9;8;6;9
0054203ZOL;7;5;4;8;10;12;14;13;8;7;6;6
0054305BIA;9;7;11;16;15;15;27;17;12;16;10;6
0054403BIE;3;3;5;7;9;9;15;9;9;8;5;6
0054503WAW;5;3;7;9;10;12;14;12;7;8;7;5
0054604BIA;6;6;5;11;12;14;21;17;10;12;5;4
0054703URY;4;6;6;8;8;10;12;12;8;9;3;3
0054802ZOL;4;3;4;4;4;8;10;7;5;6;2;3
0054904ZOL;8;5;5;12;14;15;19;14;13;8;6;4
0055004BIA;4;4;9;10;12;17;18;17;14;14;10;7
0055104ZOL;8;5;7;8;12;13;21;13;10;10;9;4
0055203BIE;4;5;4;7;9;10;15;13;8;9;5;7
0055306WES;11;6;6;18;14;26;26;24;16;12;8;6
0055403BIE;7;3;6;6;7;10;12;12;10;9;5;4
0055502MOK;2;3;3;4;4;8;10;8;4;5;2;3
0055603BEM;4;6;7;6;8;13;14;12;9;10;3;3
0055703PRA;4;3;6;9;6;9;15;13;8;6;5;4
0055803WLO;5;6;4;8;10;11;14;9;6;7;4;5
0055902WES;4;2;2;6;6;7;10;7;6;5;4;3
0056002ZOL;3;2;3;6;5;7;10;6;4;4;3;3
0056102ZOL;2;3;4;5;4;8;10;7;4;5;3;3
0056202MOK;4;2;3;5;5;7;8;8;5;4;3;3
0056305URY;12;11;8;14;15;19;20;19;13;13;5;7
0056404BEM;8;7;10;12;11;14;21;13;11;12;4;5
0056504URY;10;5;9;14;8;14;21;17;13;9;10;9
0056602URY;4;3;2;4;4;7;8;8;4;4;3;2
0056703BIE;7;6;7;10;10;10;16;10;6;9;6;4
0056803WOL;5;6;5;9;6;13;12;9;7;9;3;5
0056903BIE;6;5;3;7;9;10;15;9;8;6;7;7
0057004ZOL;10;9;7;14;14;14;18;17;10;11;8;5
0057105BEM;8;6;7;11;16;17;24;19;15;13;7;11
0057201TAR;1;2;2;3;2;4;4;3;3;3;2;2
0057303SRO;4;6;5;6;7;10;15;11;8;6;3;4
0057407WIL;11;10;15;19;15;23;33;24;22;20;9;14
0057503BIE;5;3;7;6;8;9;16;12;8;8;5;4
0057604BEM;5;6;5;14;10;16;17;12;13;14;5;9
0057703BIA;5;4;3;7;7;10;13;11;7;9;5;7
0057805WLO;12;12;5;13;11;16;23;21;12;14;7;6
0057902URU;2;4;4;6;4;6;8;7;6;6;4;2
0058006WOL;8;12;7;13;19;20;24;21;15;12;6;14
0058103WAW;3;5;3;9;8;10;16;10;7;8;5;5
0058202WLO;4;4;2;4;6;8;8;6;6;4;4;3
0058302PRA;3;3;2;6;5;7;10;6;4;6;2;2
0058402REM;3;2;4;4;5;7;9;8;4;6;2;3
0058502OCH;3;3;2;6;5;7;8;7;4;6;3;3
0058602PRA;3;3;2;6;4;7;9;6;4;6;2;3
0058704WES;5;4;6;12;9;16;22;15;10;8;8;8
0058804TAR;7;4;5;11;8;14;19;12;9;9;4;10
0058904REM;7;9;7;14;11;16;21;14;9;10;4;6
0059003BEM;5;6;3;8;8;12;14;10;9;8;7;6
0059107BEM;9;9;7;17;21;21;29;22;17;20;8;14
0059204SRO;4;9;10;13;13;16;18;17;9;11;5;5
0059302WLO;3;4;3;4;6;7;8;8;5;6;2;2
0059403TAR;6;6;7;9;8;10;12;12;7;9;6;6
0059505MOK;9;8;6;15;11;19;27;16;11;15;6;7
0059602MOK;4;4;2;4;5;6;9;7;6;4;2;3
0059703PRA;5;6;7;7;6;10;16;13;8;6;4;4
0059803BIA;5;3;4;9;6;13;16;11;8;8;4;3
0059901ZOL;2;2;1;2;2;3;4;3;3;2;2;1
0060003REM;7;3;4;9;10;9;13;10;9;10;6;7
0060103BIA;6;3;6;6;9;12;15;10;7;6;7;5
0060201WES;2;2;2;2;3;4;5;3;3;2;2;2
0060305MOK;6;6;8;12;11;20;23;19;16;11;5;6
0060404URU;10;5;5;14;12;15;17;13;8;12;7;5
0060503REM;6;5;3;6;9;13;14;10;10;9;5;3
0060606BIA;9;13;6;16;12;26;27;19;15;16;12;6
0060704BIE;9;9;9;8;12;18;16;13;11;8;9;4
0060804OCH;9;4;5;13;13;18;16;13;12;9;4;4
0060902ZOL;4;2;2;5;6;6;10;6;6;4;4;4
0061003TAR;7;6;5;7;7;13;14;9;9;9;4;7
0061104WLO;4;6;5;13;13;18;16;18;13;8;4;9
0061201WES;1;1;2;3;3;4;5;3;2;2;1;2
0061304BIE;6;9;8;11;14;16;21;17;9;11;10;10
0061402PRA;2;4;4;5;4;7;8;7;5;4;3;2
0061501WAW;1;2;1;3;2;3;4;4;2;2;2;1
0061601REM;1;2;1;2;3;3;4;4;2;3;1;1
0061705SRO;10;5;8;12;15;20;26;21;10;12;9;11
0061803BEM;6;7;6;7;8;10;13;9;8;8;5;3
0061902WES;2;2;2;5;4;8;9;6;5;4;4;4
0062004WES;10;9;7;8;8;16;19;12;12;12;10;10
0062102BIE;3;3;3;4;5;7;8;7;4;5;3;3
0062201OCH;2;1;2;2;2;3;4;3;3;3;1;2
0062306WOL;14;14;10;13;13;26;24;25;14;18;11;10
0062402ZOL;4;2;4;5;6;6;8;6;6;5;2;4
0062504WIL;5;10;9;9;8;17;21;13;12;12;7;9
0062603URY;4;3;5;8;7;11;15;10;9;9;4;6
0062702ZOL;3;3;3;6;6;6;9;8;5;6;3;2
0062803URY;5;5;4;7;7;13;16;12;6;7;5;6
0062904TAR;6;7;5;12;12;12;22;15;13;11;5;7
0063004WOL;6;8;7;14;11;18;20;12;12;8;4;9
0063103URY;3;5;6;8;10;9;13;10;9;10;7;7
0063202WAW;3;2;3;4;5;7;10;7;4;5;2;2
0063304URY;5;8;8;11;14;15;16;18;12;14;6;4
0063404ZOL;8;8;10;11;11;14;21;16;10;12;9;10
0063504WOL;8;7;5;8;8;13;21;13;8;13;4;6
0063604WES;10;8;10;9;11;12;22;13;14;8;4;4
0063705URU;5;11;7;15;11;15;25;20;16;14;9;7
0063803URU;4;5;4;7;8;11;15;9;8;10;7;6
0063902BIE;2;4;3;5;4;8;10;7;4;4;4;4
0064004PRA;7;6;7;14;8;18;17;15;12;13;5;8
0064104WAW;5;8;5;9;10;18;21;12;11;13;6;6
0064204WAW;4;6;5;12;9;16;16;12;14;9;10;8
0064305ZOL;6;5;9;14;12;19;21;18;13;14;5;12
0064404WES;7;10;7;9;9;16;17;15;14;14;5;6
0064504WIL;9;9;11;14;12;19;24;17;12;13;10;9
0064604ZOL;4;9;6;10;13;13;20;15;11;10;6;9
0064701BIE;1;2;1;3;2;3;5;3;3;3;1;1
0064803PRA;5;5;5;8;9;9;15;10;8;10;7;6
0064902WIL;2;4;2;6;4;6;8;8;5;4;3;2
0065003WLO;5;5;4;9;8;12;12;11;9;8;5;6
0065102WOL;2;3;2;6;6;7;8;6;4;6;3;4
0065203TAR;7;6;7;8;7;13;13;9;7;9;6;4
0065302BEM;3;2;4;6;6;6;9;6;5;5;3;3
0065403WAW;5;4;4;8;7;12;13;9;8;7;7;6
0065502URU;3;3;4;4;6;6;9;6;5;5;2;4
0065605BIE;6;11;12;11;13;19;23;17;16;10;7;10
0065702BEM;2;2;3;4;6;8;9;8;4;4;2;2
0065803MOK;4;7;7;10;10;12;14;13;8;9;5;4
0065903WLO;3;5;4;7;6;11;13;10;9;8;6;4
0066004WOL;4;8;4;8;10;14;16;17;9;12;6;9
0066104WLO;10;9;5;9;9;14;22;16;12;11;6;4
0066205ZOL;6;11;5;12;12;18;27;15;10;13;9;9
0066303WES;3;4;6;6;6;13;12;9;10;6;5;3
0066403PRA;5;3;4;9;9;9;12;11;10;6;5;4
0066503BEM;6;5;3;9;6;13;13;12;9;10;5;4
0066604SRO;8;8;8;11;11;12;18;12;12;11;5;7
0066703MOK;5;6;3;7;6;13;13;9;8;6;6;3
0066803MOK;5;3;6;6;10;13;13;12;9;8;3;5
0066903MOK;3;4;5;8;8;11;16;9;10;8;3;4
0067005MOK;10;11;11;10;17;19;21;15;14;11;6;10
0067101WLO;2;2;1;3;3;4;4;4;3;3;2;1
0067204REM;8;6;7;8;8;17;22;12;10;10;8;7
0067304BIA;5;5;7;8;14;18;20;15;11;13;7;6
0067403MOK;7;5;3;7;8;13;16;12;7;6;4;6
0067503OCH;4;3;7;9;8;11;13;9;6;7;7;3
0067603WAW;5;6;6;6;7;12;15;12;7;6;4;3
0067701BIA;1;2;2;3;2;3;4;4;3;2;1;1
0067805REM;8;12;9;17;12;18;27;15;16;10;10;9
0067901ZOL;2;1;2;2;2;3;4;3;2;2;2;2
0068001BIA;1;2;1;3;3;4;5;4;2;2;1;2
0068107BIA;7;11;15;22;16;22;34;28;14;18;7;11
0068205PRA;9;7;10;16;14;18;21;19;17;10;7;9
0068305WAW;11;5;11;14;10;21;21;20;17;17;11;5
0068401URY;1;2;1;3;3;4;4;3;3;2;2;2
0068503WLO;3;7;6;10;7;12;13;13;8;6;7;5
0068604OCH;9;4;4;12;12;16;21;17;13;12;9;10
0068703WIL;3;3;7;10;9;11;14;9;9;8;7;6
0068804WAW;8;4;8;10;12;15;19;14;11;14;6;8
0068904REM;8;6;7;8;8;18;18;17;9;9;10;5
0069004WIL;7;6;4;12;10;17;20;17;13;12;4;6
0069101WES;2;1;1;2;3;3;4;3;3;3;2;1
0069203BEM;3;4;3;10;7;12;16;12;6;10;3;7
0069303WLO;4;6;5;10;7;10;16;11;8;7;7;3
0069401REM;2;1;1;3;2;3;4;4;2;3;1;2
0069503BIE;5;4;7;8;7;9;12;13;8;7;6;6
0069601BIA;1;1;2;3;2;4;5;4;3;3;2;1
0069701BIE;2;1;2;2;2;3;4;3;3;2;1;1
0069803BEM;7;4;6;10;8;12;13;9;6;10;6;6
0069903ZOL;4;7;3;9;7;13;13;13;8;6;7;7
0070005WAW;7;5;5;11;15;18;27;21;11;17;12;11
0070106WIL;11;13;10;20;20;22;24;22;15;12;8;9
0070201TAR;2;2;2;2;3;3;4;3;2;2;1;1
0070303URY;4;7;6;10;7;12;16;12;10;9;5;4
0070403WLO;6;6;6;10;6;12;15;13;10;6;7;5
0070506WES;12;14;10;14;12;18;30;22;20;13;13;12
0070603TAR;7;7;7;6;10;12;13;10;7;8;4;7
0070701SRO;2;2;2;2;3;3;5;3;2;3;2;2
0070804OCH;8;7;9;10;13;18;16;17;9;9;4;7
0070905WIL;11;8;5;16;17;15;23;18;11;11;6;6
0071003WIL;3;7;5;9;7;12;14;11;10;10;3;6
0071103OCH;3;6;5;6;9;10;13;11;8;7;3;6
0071205MOK;8;5;7;11;10;17;26;22;17;14;6;6
0071304SRO;4;9;5;10;11;15;17;14;11;10;7;10
0071402WES;4;4;4;6;6;8;9;6;4;6;4;2
0071502REM;4;3;4;5;6;6;10;8;6;4;3;3
0071604WIL;5;6;9;11;12;14;16;17;8;10;10;6
0071703WAW;3;6;3;8;10;9;15;9;9;7;7;6
0071804ZOL;10;10;10;10;8;15;20;12;11;9;4;7
0071902WAW;4;3;3;5;6;8;8;8;5;6;3;4
0072003REM;5;7;6;10;9;9;14;13;7;8;7;3
0072101REM;1;1;1;2;2;3;5;4;2;2;1;2
0072204TAR;9;7;5;11;14;17;21;18;10;8;9;4
0072304BEM;4;5;8;14;8;16;17;16;12;13;8;7
0072403REM;4;7;4;9;8;13;12;10;7;8;5;5
0072503WAW;5;7;7;8;10;10;12;13;6;9;5;5
0072603WOL;4;6;7;6;9;12;12;12;7;10;7;3
0072703WLO;4;7;7;7;6;10;13;11;6;10;7;6
0072802WIL;3;4;2;5;4;8;9;6;4;5;4;2
0072904WIL;7;8;9;14;9;13;19;16;12;10;4;8
0073007TAR;8;14;14;15;21;21;28;23;22;17;9;14
0073103URY;4;4;6;9;8;9;13;11;7;10;3;3
0073203WLO;5;7;6;7;6;12;12;13;6;8;6;6
0073303WES;6;7;7;7;10;13;13;9;9;9;3;3
0073401BIE;2;2;2;3;3;4;4;4;3;2;2;1
0073505WOL;11;10;5;12;14;21;21;22;15;15;8;6
0073603PRA;3;5;4;10;9;9;16;13;6;6;5;5
0073703ZOL;4;7;4;8;9;12;12;11;8;9;6;6
0073804URU;10;9;5;12;14;16;22;14;13;13;5;9
0073904BIE;10;5;5;14;13;18;17;17;11;12;6;4
0074002SRO;2;4;2;4;5;8;8;7;6;6;3;3
0074103WAW;5;7;7;8;8;13;16;12;8;7;4;4
0074204BIA;5;4;8;11;13;17;18;17;11;12;9;9
0074303OCH;5;4;6;7;6;10;16;11;7;9;4;7
0074404PRA;8;4;8;9;13;18;20;16;10;14;7;6
0074507WES;7;11;10;14;17;25;29;28;17;20;9;12
0074602URU;2;4;2;6;6;8;9;7;4;5;2;3
0074702PRA;3;2;3;5;5;7;8;8;5;6;4;3
0074802URU;3;3;2;5;6;8;10;8;6;5;4;4
0074906BIE;9;13;9;19;15;26;31;18;14;16;6;14
0075003BEM;7;6;7;8;6;10;12;10;10;9;6;3
0075101BEM;1;1;2;3;3;3;5;3;2;2;2;1
0075201BIA;1;1;1;3;3;4;5;3;2;2;2;2
0075303TAR;3;6;6;10;8;13;12;9;9;9;7;7
0075402REM;2;4;2;5;6;8;9;7;4;5;3;2
0075503BIA;6;6;6;8;10;11;12;12;9;9;5;6
0075603OCH;7;7;3;6;9;9;15;13;9;6;4;4
0075702URY;4;3;3;4;5;6;9;6;4;4;3;2
0075804REM;6;5;10;11;8;12;18;12;8;13;7;5
0075904BIE;6;7;7;11;12;14;19;18;8;11;7;10
0076005OCH;7;9;9;10;16;16;21;16;14;17;11;11
0076106BIA;12;10;10;19;13;23;29;22;19;15;12;14
0076204PRA;7;5;9;11;9;18;20;17;11;13;5;6
0076301BIE;2;2;2;2;2;4;4;3;3;3;2;1
0076403WLO;3;6;4;6;10;10;14;9;6;7;6;6
0076505OCH;8;6;11;16;12;16;26;20;10;12;11;6
0076601WES;1;1;1;3;3;4;4;3;3;3;1;2
0076704MOK;5;10;7;13;13;18;21;14;9;14;10;5
0076807REM;8;10;7;17;14;29;32;22;20;20;7;12
0076903URY;4;5;3;10;9;12;14;9;6;7;7;4
0077001WLO;2;2;1;2;3;4;5;4;2;2;1;1
0077101WAW;2;2;1;3;3;3;5;3;3;2;2;1
0077203OCH;4;4;6;10;9;13;14;9;10;7;5;3
0077303TAR;7;3;7;8;7;13;14;12;8;7;7;5
0077403URY;6;6;4;6;6;10;13;12;6;8;6;4
0077502WLO;3;2;2;5;5;8;9;7;6;5;2;2
0077603URU;7;3;4;6;9;11;16;12;7;6;3;7
0077702OCH;3;2;3;5;6;6;8;6;6;4;3;3
0077807BIA;9;11;15;21;21;27;29;26;21;21;13;13
0077903WES;4;4;5;9;8;9;12;9;7;9;5;6
0078003PRA;5;7;4;10;9;9;16;9;10;10;6;6
0078102MOK;4;3;3;5;6;6;9;6;4;6;2;4
0078203OCH;4;7;6;7;8;12;14;9;6;7;7;4
0078304SRO;9;7;10;9;10;14;22;17;9;9;5;6
0078404BIA;5;6;6;11;8;12;20;15;12;10;4;6
0078502PRA;2;4;2;4;6;8;10;6;6;4;3;4
0078603WES;5;7;6;6;8;11;12;11;6;7;5;4
0078703BIE;3;6;3;8;10;12;15;9;7;6;7;4
0078804BIA;4;10;7;9;8;17;22;16;12;9;4;10
0078903BEM;5;7;5;7;8;11;15;12;6;6;5;5
0079004SRO;10;6;4;8;12;17;21;14;10;12;10;8
0079104WAW;4;9;6;11;11;12;22;17;11;8;9;8
0079203PRA;7;3;3;9;7;13;13;12;9;6;4;3
0079303WAW;3;4;4;7;10;13;12;9;9;7;4;4
0079404URU;4;7;7;11;10;12;20;17;12;9;10;5
0079503MOK;3;3;7;10;10;9;16;11;10;8;7;4
0079603ZOL;4;4;5;8;6;10;12;12;8;10;7;4
0079704SRO;7;10;7;13;8;17;18;17;10;12;6;7
0079801MOK;2;2;1;3;3;4;4;3;2;2;1;2
0079901PRA;2;2;2;2;2;4;4;4;3;3;2;2
0080001PRA;1;2;1;2;3;3;5;4;2;2;1;1
0080104REM;9;6;8;9;13;13;19;15;8;11;9;8
0080205REM;10;6;8;10;14;20;21;17;17;12;7;11
0080301URY;2;1;1;2;2;4;5;3;3;3;2;1
0080403URU;6;4;4;7;10;9;16;11;9;10;3;4
0080503TAR;3;6;6;6;9;10;14;10;8;9;6;3
0080603REM;6;3;7;8;10;9;15;10;8;7;6;7
0080704BIA;8;10;7;13;9;12;16;12;12;11;8;5
0080803WES;4;7;5;10;10;10;12;9;9;6;6;3
0080902SRO;2;4;2;4;6;8;8;8;5;5;2;2
0081006ZOL;10;9;10;19;17;20;27;22;13;15;14;12
0081101URU;2;2;2;3;2;3;5;4;3;2;2;2
0081206OCH;13;8;13;14;19;22;28;23;17;15;11;6
0081301BIE;2;1;1;2;2;3;5;3;3;3;1;2
0081402URU;3;4;4;6;5;7;9;8;6;5;3;2
0081501WES;2;2;2;2;3;3;5;3;2;3;1;1
0081607TAR;12;9;15;16;18;24;33;26;20;22;10;8
0081705SRO;6;11;5;13;11;15;21;16;11;17;11;9
0081806TAR;12;9;12;13;20;24;32;19;17;13;11;10
0081904OCH;8;4;9;14;9;18;18;14;11;10;8;5
0082003BIE;5;3;4;6;8;11;16;10;6;8;6;5
0082103BIA;3;3;5;9;10;10;15;12;7;7;3;3
0082204MOK;8;5;10;9;12;17;18;12;8;13;10;5
0082307BIA;10;11;10;19;15;22;36;25;21;22;11;9
0082405URU;6;11;11;17;14;18;21;16;13;15;6;9
0082506BIE;14;12;7;12;19;20;30;22;16;12;14;9
0082603BEM;6;3;3;7;10;12;12;12;6;9;3;4
0082704TAR;6;4;8;10;13;18;22;13;13;13;6;8
0082803OCH;7;6;7;6;6;9;16;12;7;7;4;3
0082904WES;9;5;6;11;14;12;19;16;8;12;9;8
0083004WES;4;9;6;13;13;15;16;16;13;12;7;9
0083104BEM;7;8;8;10;14;13;17;12;13;9;7;10
0083204OCH;8;4;6;10;8;16;22;16;9;13;6;8
0083304URU;10;10;10;14;11;17;18;15;8;12;5;5
0083404WAW;9;6;4;8;11;13;17;14;13;12;8;7
0083504PRA;8;6;10;12;9;16;21;16;8;9;5;10
0083603ZOL;4;5;5;7;7;9;14;9;7;8;6;7
0083704TAR;4;9;5;12;14;16;20;14;11;9;7;8
0083804PRA;7;4;5;10;13;12;19;14;14;14;7;7
0083903WIL;6;4;7;6;7;10;14;9;8;8;6;4
0084002URY;4;3;4;5;5;7;10;8;5;5;3;3
0084103MOK;5;7;4;9;6;13;12;9;7;9;7;5
0084202WOL;3;4;4;6;6;7;8;6;4;6;2;4
0084305OCH;11;6;11;12;13;20;26;20;12;14;9;12
0084404OCH;6;10;5;13;12;18;16;18;9;8;5;4
0084503BIE;4;7;3;7;7;12;12;10;9;10;6;7
0084604WES;10;6;8;10;9;16;17;16;12;9;6;6
0084703BIA;3;5;6;10;8;9;12;11;6;10;5;6
0084801OCH;2;1;2;2;2;4;4;3;3;2;2;1
0084904OCH;7;5;10;10;13;16;22;15;13;8;6;5
0085002URY;3;4;2;6;5;7;9;6;5;5;2;4
0085104WES;5;10;7;11;12;12;19;12;13;9;6;6
0085204URY;5;9;9;14;13;15;17;13;11;10;4;7
0085302WAW;4;2;4;6;5;8;8;8;6;5;3;3
0085404OCH;7;4;10;13;11;14;19;14;14;14;10;7
0085501WLO;1;1;2;3;3;4;4;3;2;3;1;1
0085603URY;4;7;6;7;6;9;12;13;9;10;3;3
0085704WLO;6;8;9;14;14;16;16;14;11;8;10;5
0085804WOL;10;8;10;8;8;15;22;13;14;12;4;6
0085904WAW;4;9;10;8;12;17;17;15;9;13;5;6
0086003WIL;3;6;5;10;7;9;15;9;9;7;5;7
0086104PRA;9;6;5;9;13;13;16;15;13;11;6;7
0086203WLO;6;4;6;6;6;9;15;10;7;7;3;3
0086305WAW;10;10;9;13;16;20;27;15;15;12;12;7
0086405WES;7;8;6;16;11;17;23;21;10;12;10;11
0086501TAR;1;1;2;3;3;3;4;4;3;2;2;2
0086603OCH;4;5;7;10;6;11;14;12;6;9;5;6
0086705BIE;7;8;9;10;10;16;23;17;10;11;6;6
0086805BEM;9;12;5;16;14;22;23;22;16;16;6;8
0086904TAR;6;9;5;12;13;16;17;18;10;12;6;7
0087003WES;7;3;7;8;10;9;13;13;8;8;7;7
0087103PRA;7;7;3;8;10;10;14;9;10;9;4;6
0087204REM;8;10;8;8;8;17;16;12;11;8;7;9
0087304BEM;6;5;4;8;8;13;18;13;10;13;8;10
0087404BIA;5;6;9;10;10;12;17;15;10;10;7;8
0087503BIE;4;4;4;9;8;10;15;11;9;10;4;3
0087603REM;5;4;6;8;10;13;15;12;8;8;6;7
0087702URU;3;3;2;4;4;8;8;8;5;5;2;4
0087803URU;7;3;3;8;8;9;15;9;7;9;3;4
0087904SRO;5;7;9;10;9;17;18;17;12;13;9;10
0088002WIL;4;3;3;4;4;7;9;8;4;6;4;4
0088104SRO;10;10;6;11;12;16;20;17;13;14;10;6
0088203WOL;5;3;7;6;8;11;13;11;10;9;5;7
0088303REM;7;6;6;9;9;9;16;9;7;10;5;6
0088403BEM;4;6;7;8;6;9;14;10;8;9;5;4
0088503PRA;6;3;3;6;6;9;13;9;7;10;3;4
0088603BIE;3;5;4;8;6;11;15;12;8;9;7;5
0088702TAR;4;3;2;5;4;6;9;6;5;4;4;4
0088804ZOL;10;4;5;12;14;13;20;13;13;13;5;5
0088903PRA;7;4;7;10;7;10;14;9;7;6;5;3
0089001WAW;2;2;2;3;3;3;5;3;2;3;1;1
0089106WOL;7;14;13;14;15;18;29;22;14;15;11;7
0089203WES;5;5;3;9;8;13;13;11;6;8;3;7
0089305WOL;7;5;10;13;17;20;23;17;16;14;8;10
0089404URY;7;6;7;10;12;14;19;13;9;12;7;8
0089502URU;4;3;4;4;6;8;9;6;4;5;3;3
0089604BEM;4;8;8;10;10;12;21;18;8;9;6;6
0089703SRO;6;4;7;8;6;13;12;9;10;10;5;5
0089804URU;9;8;4;8;13;18;19;15;13;12;10;4
0089904OCH;10;5;8;9;10;16;16;14;8;10;10;9
0090001TAR;2;1;1;2;3;3;4;4;2;2;2;2
0090104BEM;10;5;10;13;13;13;22;13;10;13;5;10
0090204WIL;9;8;7;10;14;15;17;15;11;9;10;9
0090305WOL;7;10;9;11;11;20;22;17;13;11;9;8
0090404BEM;8;6;5;9;8;13;22;14;13;10;7;7
